commit_id,author_id
"170343","2026"
"170344","2026"
"170358","2026"
"170359","1975"
"170360","2016"
"170361","2016"
"170363","2016"
"170405","2016"
"294001","872"
"334135","2016"
"334141","2016"
"334321","872"
"334334","2016"
"334346","1981"
"339842","872"
"402599","872"
"405780","2016"
"405789","2016"
"405798","2016"
"408613","2016"
"473098","869"
"494711","1980"
"494713","1980"
"494723","869"
"497625","1980"
"497635","869"
"523461","869"
"523475","869"
"536726","2016"
"536735","2016"
"536744","2016"
"551909","2016"
"563513","2016"
"619739","3586"
"619745","869"
"619752","3586"
"619768","3586"
"619787","869"
"619820","108801"
"619842","3580"
"619859","3580"
"619915","3580"
"619922","3580"
"619930","3580"
"619937","3580"
"620016","872"
"620024","2016"
"620102","872"
"620130","869"
"620139","872"
"620145","2080"
"620153","869"
"620157","869"
"620220","869"
"1193307","2026"
"1243546","2016"
"1254421","872"
"1259794","2017"
"1259805","2017"
"1380497","1979"
"1380521","1979"
"1387443","2026"
"1409494","1975"
"1412100","869"
"1412107","869"
"1412129","1980"
"1412151","2026"
"1412259","2026"
"1412269","872"
"1412333","872"
"1412388","869"
"1412405","869"
"1412424","2016"
"1412481","2016"
"1412511","872"
"1412522","872"
"1412538","1981"
"1412563","1981"
"1412647","1981"
"1412676","872"
"1412732","1981"
"1412771","1981"
"1412806","1981"
"1412832","869"
"1412856","869"
"1417076","1975"
"1419598","1981"
"1419619","1981"
"1419650","1981"
"1419665","1981"
"1419678","1981"
"1420243","1975"
"1421148","872"
"1421164","872"
"1427739","1975"
"1435289","2078"
"1435300","2078"
"1435310","2078"
"1437146","2078"
"1437181","2078"
"1437223","2078"
"1437276","2078"
"1469907","2030"
"1482057","1979"
"1500109","2030"
"1500125","2030"
"1661640","1979"
"1710705","2078"
"1724149","2016"
"1724159","1981"
"1724160","2078"
"1724168","2024"
"1724173","2024"
"1724175","2078"
"1724176","2078"
"1724177","2078"
"1724179","2078"
"1724181","2078"
"1724182","2078"
"1724183","2078"
"1724184","2078"
"1724186","2078"
"1724187","2078"
"1724188","2078"
"1724189","2078"
"1724190","2078"
"1724191","2016"
"1724192","2016"
"1724193","2016"
"1724194","2016"
