commit_id,author_id
"5086917","979"
"5086918","979"
"5692269","979"
"6545028","46271"
"6748077","572667"
"6925924","979"
"7144323","979"
"7195835","225828"
"7333053","979"
"7333054","51256"
"7388174","979"
"7415883","979"
"7599443","986"
"7599444","986"
"7599445","986"
"7599446","986"
"7599447","988"
"7599448","988"
"7599454","988"
"7599455","986"
"7599456","986"
"7599457","986"
"7599458","986"
"7599459","986"
"7599460","986"
"7599463","132330"
"7599464","120486"
"7599466","979"
"7599468","120486"
"7599469","979"
"7599471","979"
"7599472","979"
"7599473","979"
"7599474","979"
"7599475","986"
"7599476","986"
"7599477","986"
"7599478","979"
"7599479","979"
"7599480","979"
"7599481","979"
"7599482","979"
"7599483","979"
"7599484","979"
"7599485","979"
"7599486","979"
"7599487","988"
"7599488","988"
"7599490","988"
"7599491","988"
"7599496","132330"
"7599499","132330"
"7599501","986"
"7599502","986"
"7599503","986"
"7599504","120486"
"7599506","120486"
"7599507","979"
"7599508","979"
"7599510","979"
"7599511","979"
"7844241","979"
"7844243","289452"
"7844244","979"
"7845981","979"
"7845995","979"
"7847259","986"
"7848840","988"
"7848841","988"
"7848844","988"
"7851382","979"
"7858612","225828"
"7858620","51256"
"7858628","979"
"7858642","979"
"7858874","979"
"7858875","979"
"7858881","979"
"7882385","979"
"7882387","979"
"7882388","986"
"7897313","986"
"7897314","986"
"7910381","979"
"7910383","979"
"7910385","986"
"7913159","986"
"7913169","986"
"7913176","986"
"7913185","986"
"7913195","986"
"7913201","986"
"7913206","988"
"7913213","988"
"7913232","988"
"7913235","988"
"7913242","986"
"7913247","986"
"7913272","986"
"7913275","986"
"7913281","986"
"7913293","986"
"7913302","986"
"7913311","990"
"7913319","990"
"7923085","979"
"7923998","979"
"7929224","986"
"7929225","979"
"7929227","979"
"7929228","979"
"7958777","988"
"7958778","988"
"7959054","979"
"7993210","979"
"8173212","988"
"8173213","988"
"8173214","19650"
"8173216","988"
"8173218","988"
"8173219","988"
"8173221","988"
"8173223","979"
"8175411","979"
"8210505","986"
"8316067","986"
"8324852","988"
"8324863","51256"
"8324864","988"
"8324865","988"
"8324866","988"
"8324867","988"
"8396780","979"
"8434320","988"
"8434334","988"
"8434371","988"
"8434376","988"
"8434384","988"
"8434525","988"
"8434532","988"
"8434547","988"
"8436537","988"
"8469326","979"
"8478364","988"
"8478369","988"
"8478384","988"
"8478391","988"
"8478400","19650"
"8478411","988"
"8478426","988"
"8478437","988"
"8551086","979"
"8691194","979"
"8691755","979"
"8691801","979"
"8747556","979"
"8747567","979"
"8797600","126192"
"8898024","979"
"8913230","979"
"8935382","582315"
"8935383","979"
"8935386","186270"
"8935387","154193"
"8935388","143853"
"8935391","225828"
"8935396","598551"
"8935404","4114"
"8935407","4114"
"8935408","19650"
"8935413","645478"
"8935421","986"
"8935422","979"
"8935423","979"
"8935424","4096"
"8935434","979"
"8935442","979"
"8989177","4145"
"9045927","979"
"9045934","979"
"9045961","979"
